Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
29106;Communes;LANDREVARZEC;Préservation du patrimoine;TRAVAUX DE REPARATION DE COUVERTURE SUR L'EGLISE;6 755,00 €;3 000,00 €;44,41%;48.088182;-4.075362
80399;Communes;Guignemicourt;Transition écologique;remplacement des fenêtres de l’école;6 769,26 €;5 415,40 €;80,00%;49.869667;2.175139
28406;Communes;Eole en Beauce;Transition écologique;Isolation des combles de la mairie;6 807,00 €;3 400,00 €;49,95%;48.2137411;1.6791133
62534;Communes;LUMBRES;Transition écologique;rénovation thermique de la salle Ulysse Dupont;6 853,95 €;1 370,79 €;20,00%;50.706199;2.118268
39476;Communes;Saint-Aubin;Hors thématiques DSIL relance;Travaux sur la toiture de l'école élémentaire publique Anne Raffy;6 919,00 €;2 421,65 €;35,00%;47.033652;5.328791
10233;Communes;Mery-sur-Seine;Transition écologique;Rénovation des menuiseries extérieures de la salle communale pour préservation du bâtiment et meilleures performances énergétiques;6 975,00 €;2 092,00 €;29,99%;48.5103552;3.892437
42081;Communes;Cuzieu;Préservation du patrimoine;Réfection pied de l’église et création de gouttières zinc;6 993,00 €;5 594,00 €;79,99%;45.603777;4.257175
12205;Communes;Rouquette;Préservation du patrimoine;aménagement des locaux de la mairie;7 000,00 €;3 250,00 €;46,43%;44.320215;1.978002
69124;Communes;MARCHAMPT;Transition écologique;Rénovation du chauffage de l’église;7 000,00 €;4 200,00 €;60,00%;46.109675;4.566843
80107;Communes;Blangy Tronville;Transition écologique;remplacement des fenêtres de l’école maternelle;7 083,33 €;2 833,33 €;40,00%;49.874996;2.422984
28395;Communes;Trizay Coutretot Saint Serge;Préservation du patrimoine;Réfection intérieure et restauration de la porte de l’église Saint Martin;7 085,00 €;2 800,00 €;39,52%;48.293168;0.868186
80721;Communes;Saint Valéry sur Somme;Résilience Sanitaire;achat de 40 défibrillateurs;7 095,60 €;5 676,48 €;80,00%;50.178038;1.630347
33311;Communes;Paillet;Préservation du patrimoine;réfection d’une partie de la toiture de l’église;7 210,00 €;3 605,00 €;50,00%;44.688177;-0.361354
82022;Communes;Bourg de Visa;Résilience Sanitaire;Travaux de mise en sécurité des accès à l'école;7 268,00 €;3 634,00 €;50,00%;44.254878;0.959128
80066;Communes;Beaucourt sur L’hallue;Transition écologique;rénovation thermique de la salle polyvalente;7 327,04 €;5 861,63 €;80,00%;49.986645;2.444731
28230;Communes;Maisons;Hors thématiques DSIL relance;Mise en conformité incendie de plusieurs bâtiments communaux;7 347,00 €;3 500,00 €;47,64%;48.408651;1.8445074
